All installed packages:
1password-beta 8.10.39_2.BETA-2
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-crypton 0.34-11
haskell-crypton-connection 0.3.2-8
haskell-crypton-x509 1.7.6-28
haskell-crypton-x509-store 1.6.9-28
haskell-crypton-x509-system 1.6.7-28
haskell-crypton-x509-validation 1.6.12-28
haskell-data-array-byte 0.1.0.1-55
haskell-data-default 0.7.1.1-306
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.0.1-37
haskell-data-default-instances-dlist 0.0.1-319
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-102
haskell-dec 0.0.5-5
haskell-diff 0.4.1-75
haskell-digest 0.0.1.7-2
haskell-digits 0.3.1-21
haskell-distributive 0.6.2.1-209
haskell-dlist 1.0-241
haskell-doclayout 0.4.0.1-29
haskell-doctemplates 0.11-73
haskell-easy-file 0.2.5-21
haskell-emojis 0.1.3-10
haskell-enummapset 0.7.2.0-27
haskell-erf 2.0.0.0-25
haskell-fast-logger 3.1.2-76
haskell-fgl 5.8.2.0-8
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-81
haskell-free 5.1.10-72
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glob 0.10.2-90
haskell-gridtables 0.1.0.0-48
haskell-haddock-library 1.11.0-19
haskell-hashable 1.4.3.0-46
haskell-hourglass 0.2.12-246
haskell-hsini 0.5.2.2-11
haskell-hslua 2.3.0-54
haskell-hslua-aeson 2.3.0.1-36
haskell-hslua-classes 2.3.0-55
haskell-hslua-core 2.3.1-47
haskell-hslua-list 1.1.1-62
haskell-hslua-marshalling 2.3.1-7
haskell-hslua-module-doclayout 1.1.0-60
haskell-hslua-module-path 1.1.0-55
haskell-hslua-module-system 1.1.0.1-29
haskell-hslua-module-text 1.1.0.1-29
haskell-hslua-module-version 1.1.0-55
haskell-hslua-module-zip 1.1.1-24
haskell-hslua-objectorientation 2.3.0-51
haskell-hslua-packaging 2.3.1-16
haskell-hslua-repl 0.1.2-13
haskell-hslua-typing 0.1.1-9
haskell-http-api-data 0.5.1-56
haskell-http-client 0.7.15-25
haskell-http-client-tls 0.3.6.3-60
haskell-http-date 0.0.11-136
haskell-http-media 0.8.1.1-14
haskell-http-types 0.12.4-8
haskell-http2 4.1.0-24
haskell-hunit 1.6.2.0-227
haskell-indexed-traversable 0.1.3-73
haskell-indexed-traversable-instances 0.1.1.2-46
haskell-integer-logarithms 1.0.3.1-7
haskell-invariant 0.6.3-8
haskell-iproute 1.7.12-82
haskell-ipynb 0.2-141
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-22
haskell-juicypixels 3.3.8-31
haskell-kan-extensions 5.2.6-6
haskell-keys 3.12.3-309
haskell-lambdahack 0.11.0.1-15
haskell-lens 5.2.3-45
haskell-lexer 1.1.1-2
haskell-libyaml 0.1.4-7
haskell-linear 1.22-86
haskell-linear-generics 0.2.1-26
haskell-lpeg 1.0.4-26
haskell-lua 2.3.2-6
haskell-memory 0.18.0-8
haskell-mime-types 0.1.2.0-2
haskell-minimorph 0.3.0.1-46
haskell-miniutter 0.5.1.2-46
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-102
haskell-mono-traversable 1.0.17.0-10
haskell-network 3.1.4.0-20
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-31
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-2
haskell-onetuple 0.4.1-2
haskell-only 0.1-23
haskell-open-browser 0.2.1.0-29
haskell-optparse-applicative 0.17.1.0-29
haskell-ordered-containers 0.2.3-2
haskell-pandoc 3.1.9-2
haskell-pandoc-lua-engine 0.2.1.2-26
haskell-pandoc-lua-marshal 0.2.4-4
haskell-pandoc-server 0.1.0.5-42
haskell-pandoc-types 1.23.1-23
haskell-parallel 3.2.2.0-18
haskell-pem 0.2.4-286
haskell-pretty-show 1.10-15
haskell-prettyprinter 1.7.1-167
haskell-primitive 0.7.4.0-111
haskell-profunctors 5.6.2-175
haskell-psqueues 0.2.8.0-10
haskell-quickcheck 2.14.3-64
haskell-random 1.2.1.2-8
haskell-recv 0.1.0-30
haskell-reflection 2.1.7-24
haskell-regex-base 0.94.0.2-3
haskell-regex-tdfa 1.3.2.2-44
haskell-resourcet 1.2.6-51
haskell-safe 0.3.21-5
haskell-safe-exceptions 0.1.7.4-21
haskell-scientific 0.3.7.0-113
haskell-sdl2 2.5.5.0-59
haskell-sdl2-ttf 2.1.3-115
haskell-semialign 1.2.0.1-162
haskell-semigroupoids 5.3.7-144
haskell-servant 0.20.1-14
haskell-servant-server 0.20-25
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-38
haskell-singleton-bool 0.1.7-3
haskell-skylighting 0.14-17
haskell-skylighting-core 0.14-16
haskell-skylighting-format-ansi 0.1-123
haskell-skylighting-format-blaze-html 0.1.1.2-10
haskell-skylighting-format-context 0.1.0.2-88
haskell-skylighting-format-latex 0.1-123
haskell-socks 0.6.1-237
haskell-some 1.0.5-2
